Epoch,Train Loss,Test Loss,Test Accuracy
1,0.5971956410469152,0.35997623546061175,0.857318825703141
2,0.40420181361528545,0.33439742218629986,0.8341203038390475
3,0.11748914487468891,0.07291458752249776,0.9817285978238555
4,0.07756082601845264,0.0710920851823746,0.9813180045165264
5,0.0709356023524052,0.09004292828243932,0.9720796551016219
6,0.06930059337606415,0.06299276320336789,0.9837815643605009
7,0.06161760913733488,0.060076448469867115,0.9850133442824882
8,0.05417486974396385,0.058298813352616975,0.9852186409361527
9,0.04613192523829639,0.0641334945430334,0.9839868610141654
10,0.039736937909410935,0.061012196652834715,0.9839868610141654
