Epoch,Train Loss,Test Loss,Test Accuracy
1,0.4780666898840513,0.2447596050165837,0.9242455347977828
2,0.138675835614021,0.09239642987380815,0.9778279614042291
3,0.08443483501099623,0.08230813402755588,0.9776226647505646
4,0.07864637667169938,0.0810380491330684,0.9784438513652227
5,0.07465361084024875,0.08121015295824584,0.9784438513652227
6,0.07351834828941486,0.07724442804427026,0.9784438513652227
7,0.0674928513307793,0.0769352482911808,0.9798809279408746
8,0.0686030460593219,0.08755176290382746,0.9759802915212482
9,0.06485244110704233,0.07389127245945917,0.9800862245945391
10,0.05761621520878413,0.07007687037591548,0.9809074112091973
